repoLanguage,forkCount,stargazerCount,repoAge,state,deletions,additions,changedFiles,commentsTotalCount,commitsTotalCount,prExperience,isMember,authorComments,reviewersComments,reviewersTotalCount,bodyLength,prSize,reviewTime,purpose
TypeScript,7045,76149,2589.770439814815,MERGED,0,6,1,5,1,92,False,0,5,2,659,6,0.4111111111111111,Document
TypeScript,4705,54041,1188.6836574074075,MERGED,30,75,1,4,9,62,False,1,3,3,1697,105,70.0261111111111,Bug
Go,2083,11768,1485.9302083333332,MERGED,0,3,1,5,1,0,False,3,2,1,1453,3,9.234722222222222,Document
Go,2083,11768,1486.3152546296296,MERGED,1,15,1,0,1,851,True,0,0,0,1044,16,0.10472222222222222,Document
TypeScript,41369,87411,2903.8720949074072,MERGED,4,206,2,2,6,62,True,0,2,2,2479,210,265.88694444444445,Document
Go,395,660,1231.8881944444445,MERGED,0,1,1,0,1,113,False,0,0,0,244,1,0.11472222222222223,Feature
PHP,1334,2960,4174.0190625000005,MERGED,6,4,4,1,3,852,False,0,1,1,2016,10,4.81,Feature
C++,2234,23693,2324.919988425926,MERGED,25,6,4,1,1,509,False,0,1,1,1770,31,65.47527777777778,Feature
TypeScript,1297,21107,382.9777314814815,MERGED,8,19,4,1,1,758,True,0,1,1,224,27,0.024722222222222222,Feature
JavaScript,8844,63474,4036.2363425925923,MERGED,1,1,1,2,1,0,False,0,2,2,928,2,0.14055555555555554,Bug
Python,3,12,12.723171296296295,MERGED,0,8,1,0,1,5,False,0,0,0,620,8,0.0475,Feature
JavaScript,5139,7048,1170.8665162037037,MERGED,10,10,10,2,1,0,False,1,1,1,123,20,0.16416666666666666,Feature
JavaScript,8844,63474,4044.5543055555554,MERGED,37,46,8,0,7,59,True,0,0,0,1643,83,4.084444444444444,Bug
TypeScript,1416,21916,249.61787037037038,MERGED,14,50,2,3,2,70,True,0,3,3,342,64,1.8233333333333333,Feature
JavaScript,8844,63474,4044.0610185185183,MERGED,1667,1749,4,5,19,58,True,4,1,1,1715,3416,9.205,Document
TypeScript,7045,76149,2587.7072222222223,MERGED,1,16,1,5,1,87,False,0,5,2,835,17,0.5902777777777778,Feature
JavaScript,8844,63474,4044.060960648148,CLOSED,405,442,7,0,1,53,True,0,0,0,1891,847,0.20083333333333334,Feature
Blade,0,0,81.04890046296296,MERGED,2,6,1,0,1,11,False,0,0,0,1047,8,0.03805555555555556,Bug
C++,363,552,504.52592592592595,MERGED,2,2,1,1,1,79,False,1,0,0,2061,4,57.532222222222224,Document
C#,80,125,785.7712847222223,MERGED,0,15,2,0,2,3,False,0,0,0,417,15,165.11666666666667,Bug
Go,395,660,1232.8904861111112,MERGED,0,5,1,0,1,188,False,0,0,0,253,5,0.3375,Feature
TypeScript,2071,16638,1207.4076273148148,MERGED,1,1,1,0,1,0,False,0,0,0,1263,2,4.121666666666667,Document
F#,153,337,2880.966284722222,MERGED,0,307,4,1,2,10,False,0,1,1,3027,307,334.1013888888889,Document
Java,450,746,4039.1245138888885,MERGED,14,68,2,0,2,965,False,0,0,0,327,82,93.12166666666667,Bug
JavaScript,5139,7048,1169.1051157407408,MERGED,47,224,3,1,5,283,False,0,1,1,2032,271,13.941666666666666,Feature
C++,2234,23693,2321.9095486111114,MERGED,59,69,6,1,4,171,False,0,1,1,354,128,67.04027777777777,Feature
Go,395,660,1232.1428587962962,MERGED,0,6,1,0,1,115,False,0,0,0,196,6,0.06444444444444444,Feature
C++,2234,23693,2321.763611111111,MERGED,9,202,3,1,4,10,False,0,1,1,1670,211,47.89833333333333,Document
TypeScript,7045,76149,2589.762210648148,MERGED,0,19,2,5,1,91,False,0,5,2,917,19,0.08194444444444444,Feature
TypeScript,7045,76149,2589.7457407407405,MERGED,17216,17135,3,5,1,90,False,0,5,2,886,34351,0.16361111111111112,Document
TypeScript,1297,21107,383.0753240740741,MERGED,1,3,1,2,1,762,True,1,1,1,1375,4,0.16027777777777777,Document
TypeScript,1297,21107,383.0052430555556,MERGED,2,6,3,1,1,760,True,0,1,1,1318,8,0.013333333333333334,Document
JavaScript,5139,7048,1170.662800925926,MERGED,32,437,10,2,4,0,False,0,2,2,220,469,21.99972222222222,Feature
TypeScript,1297,21107,382.2974537037037,MERGED,1,1,1,2,3,2,False,1,1,1,1464,2,16.905277777777776,Document
TypeScript,1297,21107,382.80929398148146,MERGED,719,711,10,1,1,756,True,0,1,1,374,1430,3.2330555555555556,Bug
Python,24585,55553,4612.347152777777,MERGED,3,14,2,1,2,2,False,0,1,1,255,17,18.57138888888889,Feature
Rust,433,2229,195.75184027777777,MERGED,31,45,4,0,1,102,False,0,0,0,659,76,1.4272222222222222,Bug
Python,19248,70257,2419.4344328703705,CLOSED,5,2,1,5,2,1522,False,5,0,0,113,7,11.403055555555556,Feature
HTML,118,8,34.88990740740741,MERGED,6,6,1,0,1,4,True,0,0,0,188,12,0.013333333333333334,Feature
Python,19248,70257,2420.615601851852,CLOSED,6,1,1,4,1,1524,False,4,0,0,176,7,5.551666666666667,Feature
PHP,883,2337,1797.022951388889,CLOSED,4,4,2,3,1,196,False,1,2,2,2273,8,233.28916666666666,Document
C++,2234,23693,2323.9502314814813,MERGED,25,14,3,2,1,194,False,1,1,1,2427,39,30.834722222222222,Feature
